OBJECTID,RecNum,FIRST_Year,FIRST_Boro,FIRST_CB,FIRST_Main,FIRST_From,FIRST_ToSt,FIRST_NumO,FIRST_NrSc,FIRST_Othe,FIRST_Inst,FIRST_Nu_1,FIRST_ReIn,FIRST_SchP,FIRST_Orde,FIRST_Or_1,FIRST_Or_2,FIRST_RecN,Shape_Leng,CRASHES 3,CRASHES -3,CRASHES 6,CRASHES -6,3 MONTH PERCENT DECREASE,6 MONTH PERCENT DECREASE,STREETS,LATLON,CRASHES TOTAL 3,CRASHES TOTAL 6,CRASHES TOTAL -3,CRASHES TOTAL -6,3 MONTH PERCENT DECREASE PLUS,6 MONTH PERCENT DECREASE PLUS
188,188,2014,2,10,WILCOX AVENUE,PHILIP AVENUE,RANDALL AVENUE,1,0,1,09/18/2013,0,,N/S,B-325240 / 325241,07/31/2013,09/20/2013,4,800.347427218,0.0,0.0,1.0,0.0,0.0,-1.0,WILCOX AVENUE+RANDALL AVENUE,"(40.81821679999999, -73.8541322)",99883.0,101290.0,49819.0,51618.0,0.0,-1.0
186,186,2014,2,8,FIELDSTON ROAD,WEST 253rd STREET,WEST 256th STREET,6,0,6,09/05/2013,0,,N/S,C-315308 / 315309,03/11/2013,09/10/2013,2,1252.14894509,0.0,0.0,0.0,0.0,0.0,0.0,FIELDSTON ROAD+WEST 256th STREET,"(40.9038811, -73.9031286)",100810.0,100877.0,50151.0,51390.0,0.0,0.0
184,184,2014,5,2,FOREST ROAD,DUTCHESS AVENUE,DALEMERE ROAD,1,0,1,08/27/2013,0,,N/S,B-325587 / 325588,08/06/2014,09/04/2014,0,682.479547282,0.0,0.0,0.0,0.0,0.0,0.0,FOREST ROAD+DALEMERE ROAD,"(40.596651, -74.10275349999999)",100993.0,101306.0,51301.0,50895.0,0.0,0.0
183,183,2014,5,3,YETMAN AVENUE,AMBOY ROAD,PITTSVILLE AVENUE,2,2,0,08/22/2013,0,,PS 1 / IS 34 / OUR LADY HELP OF CHRISTIANS SCHOOL,B-325835,08/12/2013,09/03/2013,0,1008.79347879,0.0,0.0,0.0,0.0,0.0,0.0,YETMAN AVENUE+PITTSVILLE AVENUE,"(40.50666690000001, -74.2460842)",100887.0,101105.0,51230.0,50578.0,0.0,0.0
182,182,2014,5,1,WARDWELL AVENUE,THE BOULEVARD,LEONARD AVENUE,1,1,0,08/29/2013,0,,PS 30,B-325591,08/06/2013,09/04/2013,0,400.021473862,0.0,0.0,0.0,0.0,0.0,0.0,WARDWELL AVENUE+LEONARD AVENUE,"(40.618274, -74.13767290000001)",100918.0,101217.0,50868.0,51418.0,0.0,0.0
181,181,2014,5,2,FOREST ROAD,JENNA LANE,DUTCHESS AVENUE,1,0,1,08/27/2013,0,,N/S,B-325587 / 325588,08/06/2013,09/04/2013,0,402.554560325,0.0,0.0,0.0,0.0,0.0,0.0,FOREST ROAD+DUTCHESS AVENUE,"(40.5960469, -74.0998625)",100993.0,101306.0,51301.0,50895.0,0.0,0.0
180,180,2014,5,1,CLINTON B FISK AVENUE,LEONARD AVENUE,LATHROP AVENUE,1,1,0,08/28/2013,0,,PS 30,B-325589,08/06/2013,10/10/2013,0,325.204579997,0.0,0.0,0.0,0.0,0.0,0.0,CLINTON B FISK AVENUE+LATHROP AVENUE,"(40.619395, -74.1390019)",100923.0,101209.0,51122.0,51123.0,0.0,0.0
179,179,2014,5,1,CLINTON B FISK AVENUE,WATCHOGUE ROAD,WATERS AVENUE,2,0,2,08/28/2013,0,,N/S,B-325590,08/06/2013,09/04/2013,0,563.4046730030001,0.0,0.0,1.0,0.0,0.0,-1.0,CLINTON B FISK AVENUE+WATERS AVENUE,"(40.6175187, -74.1378701)",100923.0,101209.0,51122.0,51123.0,0.0,-1.0
178,178,2014,5,3,BEDELL AVENUE,GIEGERICH AVENUE,HYLAN BOULEVARD,2,0,2,08/26/2013,0,,N/S,B-325592 / 325593,08/06/2013,09/04/2013,0,1961.39612652,0.0,0.0,0.0,1.0,0.0,1.0,BEDELL AVENUE+HYLAN BOULEVARD,"(40.5464579, -74.1414662)",100912.0,101301.0,51354.0,50907.0,0.0,1.0
177,177,2014,4,7,23 AVENUE,154 STREET,157 STREET,1,0,1,05/16/2014,0,,N/S,B-337779 / 337793,04/28/2014,05/19/2014,0,785.9716573310001,0.0,0.0,0.0,1.0,0.0,1.0,23 AVENUE+157 STREET,"(40.691035, -73.792509)",103672.0,98623.0,48058.0,51825.0,0.0,1.0
176,176,2014,4,4,41 AVENUE,104 STREET,108 STREET,1,1,0,05/07/2014,0,,PS 16,B-337786,04/28/2014,05/10/2014,0,870.1541406939999,0.0,2.0,2.0,2.0,1.0,0.0,41 AVENUE+108 STREET,"(40.6938, -73.798165)",104097.0,98393.0,47960.0,52204.0,1.0,0.0
175,175,2014,4,3,99 STREET,34 AVENUE,NORTHERN BLVD.,1,1,0,05/07/2014,0,,PS 92Q/EARLY CHILDHOOD PLAYGROUND,B-337785,04/28/2014,05/10/2014,0,674.3290158140001,0.0,0.0,0.0,0.0,0.0,0.0,99 STREET+NORTHERN BLVD.,"(40.6140025, -74.10593659999999)",104097.0,98393.0,47960.0,52204.0,0.0,0.0
174,174,2014,4,11,44 AVENUE,196 STREET,FRANCIS LEWIS BL.,1,1,0,05/12/2014,0,,WILLIAM SPYROPOULOS SCHOOL,B-337783 / 337784,04/28/2014,05/19/2014,0,697.4875354410001,0.0,0.0,0.0,0.0,0.0,0.0,44 AVENUE+FRANCIS LEWIS BL.,"(40.7289587, -73.7681769)",104213.0,98568.0,48014.0,52202.0,0.0,0.0
173,173,2014,4,11,210 STREET,34 ROAD,32 AVENUE,1,0,1,05/08/2014,0,1 TBI,N/S,B-337780 / 337781,04/28/2014,5/10/2014 [1],0,492.490747409,0.0,1.0,1.0,1.0,1.0,0.0,210 STREET+32 AVENUE,"(40.7444901, -73.97760099999999)",104127.0,98425.0,47889.0,52215.0,1.0,0.0
172,172,2014,4,4,ITHACA STREET,WHITNEY AVENUE,43 AVENUE,1,1,0,05/14/2014,0,,PS 14 ANNEX/ST. BARTHOLOMEW'S,B-337778,04/28/2014,05/19/2014,0,495.338926342,0.0,0.0,0.0,0.0,0.0,0.0,ITHACA STREET+43 AVENUE,"(40.7127837, -74.0059413)",103979.0,98472.0,48068.0,52122.0,0.0,0.0
171,171,2014,4,13,235 STREET,121 AVENUE,120 AVENUE,1,1,0,05/15/2014,0,,PS 176,B-337777 / 337792,04/28/2014,05/23/2014,0,650.464651554,1.0,0.0,1.0,0.0,-1.0,-1.0,235 STREET+120 AVENUE,"(40.68633, -73.72894)",103879.0,98496.0,47915.0,51954.0,-1.0,-1.0
170,170,2014,4,9,AUSTIN STREET,LEFFERTS BLVD.,127 STREET,4,0,4,05/09/2014,0,,N/S,B-337774 / 337775 / 337776,04/28/2014,05/10/2014,0,2341.77250646,0.0,0.0,0.0,0.0,0.0,0.0,AUSTIN STREET+127 STREET,"(40.6306071, -74.084822)",104081.0,98546.0,48061.0,52192.0,0.0,0.0
169,169,2014,4,8,70 ROAD,150 STREET,153 STREET,2,2,0,05/09/2014,0,,PS 165/VLEIGH PLAYGROUND,B-337312 / 337313,04/21/2014,05/10/2014,0,701.34122754,0.0,1.0,0.0,1.0,1.0,1.0,70 ROAD+153 STREET,"(40.7303848, -73.81555399999999)",104081.0,98546.0,48061.0,52192.0,1.0,1.0
168,168,2014,4,5,65 STREET,68 AVENUE,CATALPA AVENUE,1,0,1,05/09/2014,0,,N/S,B-337310 / 337311,04/21/2014,05/10/2014,0,510.71176036400004,0.0,1.0,0.0,1.0,1.0,1.0,65 STREET+CATALPA AVENUE,"(40.703415, -73.897646)",104081.0,98546.0,48061.0,52192.0,1.0,1.0
167,167,2014,4,11,223 STREET,57 AVENUE,58 AVENUE,1,1,0,05/12/2014,0,,BENJAMIN CARDOZO H.S.,B-337308 / 337309,04/21/2014,05/19/2014,0,415.869738498,0.0,0.0,0.0,0.0,0.0,0.0,223 STREET+58 AVENUE,"(40.7455354, -73.77687279999999)",104213.0,98568.0,48014.0,52202.0,0.0,0.0
166,166,2014,4,7,OAK AVENUE,158 STREET,157 STREET,1,0,1,05/14/2014,0,,N/S,B-337306 / 337307,04/21/2014,05/19/2014,0,257.680496017,0.0,0.0,0.0,0.0,0.0,0.0,OAK AVENUE+157 STREET,"(40.6174848, -74.1145427)",103979.0,98472.0,48068.0,52122.0,0.0,0.0
165,165,2014,4,10,78 STREET,160 AVENUE,159 AVENUE,1,0,1,05/01/2014,0,,N/S,B-337304 / 337305,04/21/2014,05/02/2014,0,786.591241135,0.0,0.0,0.0,0.0,0.0,0.0,78 STREET+159 AVENUE,"(40.716439, -73.80708)",104015.0,98367.0,47921.0,52228.0,0.0,0.0
164,164,2014,4,11,CLOVERDALE BOULEVARD,53 AVENUE,HOXIE DRIVE,2,2,0,05/13/2014,0,,QUEENS COMMUNITY COLLEGE,B-337302 / 337303,04/21/2014,05/21/2014,0,661.99275074,1.0,0.0,2.0,0.0,-1.0,-2.0,CLOVERDALE BOULEVARD+HOXIE DRIVE,"(40.75653880000001, -73.75413)",104196.0,98529.0,47955.0,52154.0,-1.0,-2.0
163,163,2014,4,5,67 STREET,51 ROAD,MAURICE AVENUE,1,1,0,05/05/2014,0,,EMANUEL KAPLAN SCHOOL,B-337180,04/17/2014,05/06/2014,0,317.01686077700003,0.0,0.0,1.0,0.0,0.0,-1.0,67 STREET+MAURICE AVENUE,"(40.73245240000001, -73.90229169999999)",104077.0,98538.0,47814.0,52308.0,0.0,-1.0
162,162,2014,4,4,48 AVENUE,104 STREET,108 STREET,1,1,0,05/06/2014,0,,SAINT LEO SCHOOL,B-337179,04/17/2014,05/10/2014,0,870.306203821,0.0,0.0,2.0,3.0,0.0,0.3333333333333333,48 AVENUE+108 STREET,"(40.69885, -73.7855041)",104168.0,98510.0,47964.0,52219.0,0.0,0.3333333333333333
161,161,2014,4,6,68 AVENUE,110 STREET,108 STREET,1,0,1,05/05/2014,0,,N/S,B-337178,04/17/2014,05/06/2014,0,670.6143212569999,0.0,1.0,0.0,2.0,1.0,1.0,68 AVENUE+108 STREET,"(40.6988562, -73.7854862)",104077.0,98538.0,47814.0,52308.0,1.0,1.0
160,160,2014,4,7,128 STREET,25 AVENUE,23 AVENUE,1,0,1,05/06/2014,0,,N/S,B-337176 / 337177,04/17/2014,05/10/2014,0,757.5416741189999,0.0,2.0,1.0,3.0,1.0,0.6666666666666666,128 STREET+23 AVENUE,"(40.74307, -73.99408919999999)",104168.0,98510.0,47964.0,52219.0,1.0,0.6666666666666666
159,159,2014,4,7,212 STREET,23 AVENUE,18 AVENUE,2,2,0,05/13/2014,0,,PS 169,B-337168 / 337169,04/17/2014,05/19/2014,0,756.779203064,0.0,0.0,2.0,1.0,0.0,-1.0,212 STREET+18 AVENUE,"(40.735288, -73.984751)",104196.0,98529.0,47955.0,52154.0,0.0,-1.0
158,158,2014,4,6,98 STREET,HORACE HARDING EXPRESSWAY SR S,62 DRIVE,1,1,0,05/14/2014,0,,HORACE HARDING SCHOOL,B-337062 / 337063,04/15/2014,05/19/2014,0,702.005549205,1.0,0.0,3.0,1.0,-1.0,-2.0,98 STREET+62 DRIVE,"(40.733153, -73.859733)",103979.0,98472.0,48068.0,52122.0,-1.0,-2.0
157,157,2014,4,9,110 STREET,101 AVENUE,95 AVENUE,2,0,2,05/01/2014,0,,N/S,B-337061,04/15/2014,05/02/2014,0,982.5709912919999,1.0,2.0,1.0,3.0,0.5,0.6666666666666666,110 STREET+95 AVENUE,"(40.6167008, -74.0377819)",104015.0,98367.0,47921.0,52228.0,0.5,0.6666666666666666
