NUMBER OF CYCLIST KILLED,ON STREET NAME,CRASHES,NUMBER OF PERSONS KILLED,NUMBER OF MOTORIST INJURED,ZIP CODE,LONGITUDE,NUMBER OF CYCLIST INJURED,NUMBER OF MOTORIST KILLED,CROSS STREET NAME,NUMBER OF PEDESTRIANS KILLED,NUMBER OF PEDESTRIANS INJURED,LATITUDE,NUMBER OF PERSONS INJURED,BOROUGH,OFF STREET NAME,YELP_BAR,YELP_DRINK,YELP_FOOD,YELP_MUSIC,YELP_SHOW,FOUR_SQUARE_DRINK,FOUR_SQUARE_FOOD
0,FLATBUSH AVENUE EXTENSION,421,1,52,11201,-73.9845292,3,1,FLATBUSH AVENUE EXTENSION,0,7,40.696034600000004,62,BROOKLYN,,0,0,0,0,0,0,0
0,WEST 42 STREET,324,0,10,10036,-73.9897922,4,0,WEST 42 STREET,0,30,40.7572323,44,MANHATTAN,,16,19,20,11,14,0,278
0,QUEENSBORO BRIDGE APPROACH,322,0,24,10022,-73.9643142,3,0,EAST 59 STREET,0,9,40.7606005,36,MANHATTAN,,2,1,2,3,4,0,0
0,PENNSYLVANIA AVENUE,303,0,114,11207,-73.89062290000003,3,0,PENNSYLVANIA AVENUE,0,6,40.658577799999996,123,BROOKLYN,,0,1,2,0,1,0,0
0,PENNSYLVANIA AVENUE,289,0,82,11207,-73.89685329999998,1,0,PENNSYLVANIA AVENUE,0,8,40.675735700000004,91,BROOKLYN,,0,0,0,1,1,0,0
0,WOODHAVEN BOULEVARD,254,0,34,11373,-73.8703694,2,0,WOODHAVEN BOULEVARD,0,6,40.7334973,42,QUEENS,,0,1,3,1,1,0,1407
0,DELANCEY STREET,249,0,13,10012,-73.9940403,6,0,DELANCEY STREET,0,8,40.7203211,27,MANHATTAN,,3,4,5,3,3,0,146
0,WEST 34 STREET,246,0,17,10001,-73.9906233,6,0,WEST 34 STREET,0,21,40.7509908,44,MANHATTAN,,9,11,20,4,2,0,371
0,WEST 42 STREET,245,0,11,10036,-73.98694809999998,4,0,WEST 42 STREET,0,21,40.75603529999999,36,MANHATTAN,,3,4,6,4,7,0,221
0,WEST 42 STREET,243,0,15,10036,-73.9926328,8,0,WEST 42 STREET,0,16,40.7584292,39,MANHATTAN,,12,20,20,5,5,0,213
0,EAST 57 STREET,235,0,10,10022,-73.967462,2,0,EAST 57 STREET,0,10,40.76022260000001,22,MANHATTAN,,4,4,7,1,14,0,6
0,EAST 57 STREET,230,0,11,10022,-73.9652931,2,0,EAST 57 STREET,0,8,40.759308000000004,21,MANHATTAN,,7,7,14,2,1,0,14391
0,BRUCKNER BOULEVARD,227,0,42,10459,-73.8906752,2,0,HUNTS POINT AVENUE,0,25,40.820189,69,BRONX,,0,0,1,0,0,0,0
0,EAST HOUSTON STREET,226,0,22,10012,-73.9926041,3,0,EAST HOUSTON STREET,0,8,40.7241363,33,MANHATTAN,,4,6,8,2,2,0,73970
0,5,220,0,80,10460,-73.8732802,0,0,,0,0,40.8380117,80,BRONX,,0,0,0,0,0,0,0
0,EAST 96 STREET,215,0,9,10128,-73.9447234,3,0,EAST 96 STREET,0,7,40.78324779999999,19,MANHATTAN,,0,0,0,0,0,0,316
0,EAST 59 STREET,214,0,8,10022,-73.9665842,1,0,EAST 59 STREET,0,8,40.761550799999995,17,MANHATTAN,,4,8,10,2,8,0,0
0,DR KAZIMIROFF BOULEVARD,211,0,55,10458,-73.88079259999998,4,0,KAZIMIROFF BOULEVARD,0,9,40.857128499999995,68,BRONX,,0,1,1,0,1,0,0
0,WEST 34 STREET,206,0,11,10001,-73.9934636,5,0,WEST 34 STREET,0,22,40.752190399999996,38,MANHATTAN,,8,9,14,4,3,0,79
0,EAST 34 STREET,206,0,15,10016,-73.9758819,6,0,EAST 34 STREET,0,12,40.74478,33,MANHATTAN,,7,6,11,1,1,0,339
0,TILLARY STREET,205,0,37,11201,-73.98876290000003,5,0,TILLARY STREET,0,3,40.696197,45,BROOKLYN,,0,0,0,0,0,0,0
0,WEST 40 STREET,203,0,6,10018,-73.99924200000002,0,0,WEST 40 STREET,0,3,40.7595273,9,MANHATTAN,,0,0,0,0,0,0,0
0,ATLANTIC AVENUE,201,0,59,11208,-73.8774282,2,0,ATLANTIC AVENUE,0,9,40.680015000000004,70,BROOKLYN,,0,1,1,0,1,0,0
0,WEST 42 STREET,201,0,5,10036,-73.9954735,3,0,WEST 42 STREET,0,13,40.759626000000004,21,MANHATTAN,,3,4,4,2,4,0,7839
0,AVENUE OF THE AMERICAS,199,0,11,10036,-73.98411850000002,3,0,AVENUE OF THE AMERICAS,0,10,40.7548409,24,MANHATTAN,,5,7,10,4,2,0,1623
0,WEST 42 STREET,198,0,23,10036,-73.9983142,2,0,WEST 42 STREET,0,9,40.76082279999999,34,MANHATTAN,,0,0,3,0,0,0,1549
0,EASTERN PARKWAY,196,0,39,11213,-73.93112009999999,5,0,EASTERN PARKWAY,0,35,40.66879779999999,79,BROOKLYN,,0,1,6,0,0,0,0
0,BROOKLYN-QUEENS EXPRESSWAY,196,0,41,11201,-73.9896203,0,0,,0,1,40.7014547,42,KINGS,,0,1,1,0,5,0,0
0,EAST 36 STREET,195,0,6,10016,-73.9749359,5,0,EAST 36 STREET,0,5,40.7460781,16,MANHATTAN,,1,2,2,0,4,0,339
0,CANAL STREET,194,0,16,10013,-74.00188309999999,2,0,CANAL STREET,0,8,40.7193963,26,MANHATTAN,,1,1,6,2,1,0,8
0,FLATBUSH AVENUE,194,2,35,11217,-73.9774579,8,0,ATLANTIC AVENUE,2,5,40.6840525,48,BROOKLYN,,3,6,10,3,2,0,0
0,DELANCEY STREET,188,0,28,10002,-73.9928968,8,0,CHRYSTIE STREET,0,17,40.7199725,53,MANHATTAN,,11,10,4,8,7,0,9
0,EAST 37 STREET,187,0,10,10016,-73.9767362,0,0,EAST 37 STREET,0,8,40.7476292,18,MANHATTAN,,7,9,11,3,4,0,377
0,EAST 63 STREET,186,0,5,10065,-73.96251509999998,0,0,EAST 63 STREET,0,2,40.7631141,7,MANHATTAN,,1,3,6,1,7,0,0
0,WEST 31 STREET,185,0,6,10001,-73.9948425,3,0,WEST 31 STREET,0,2,40.7502939,11,MANHATTAN,,10,12,15,7,7,0,7208
0,EAST 125 STREET,184,0,47,10035,-73.933575,0,0,EAST 125 STREET,0,8,40.8027515,55,MANHATTAN,,0,0,0,0,0,0,160
0,EMPIRE BOULEVARD,184,0,68,11225,-73.96244870000002,3,0,EMPIRE BOULEVARD,0,9,40.6631828,80,BROOKLYN,,0,0,0,0,0,0,0
0,EXTERIOR STREET,184,0,46,10451,-73.9313928,0,0,EAST 138 STREET,0,5,40.8137456,51,BRONX,,0,0,0,0,0,0,0
0,ATLANTIC AVENUE,182,0,38,11216,-73.95298690000001,9,0,ATLANTIC AVENUE,0,11,40.678723,58,BROOKLYN,,0,0,0,0,0,0,0
0,PENNSYLVANIA AVENUE,179,0,93,11207,-73.89747690000002,1,0,PENNSYLVANIA AVENUE,0,1,40.6781627,95,BROOKLYN,,0,0,2,0,1,0,0
0,EAST 34 STREET,178,0,20,10016,-73.9781227,2,0,EAST 34 STREET,0,14,40.7457274,36,MANHATTAN,,17,17,20,3,2,0,49
0,AVENUE OF THE AMERICAS,177,0,9,10019,-73.97719599999998,4,0,AVENUE OF THE AMERICAS,0,9,40.764322899999996,22,MANHATTAN,,2,6,11,4,1,0,513
0,HILLSIDE AVENUE,177,0,38,11427,-73.817418,0,0,,0,0,40.7044959,38,QUEENS,,0,0,0,0,0,0,0
0,LAFAYETTE STREET,177,0,14,10013,-74.0005303,3,0,LAFAYETTE STREET,0,6,40.7184302,23,MANHATTAN,,3,9,20,5,12,11,19
0,AMSTERDAM AVENUE,175,0,12,10027,-73.9562587,3,0,AMSTERDAM AVENUE,0,32,40.8133899,47,MANHATTAN,,3,3,11,1,2,0,0
0,ATLANTIC AVENUE,175,0,81,11233,-73.90808990000002,2,0,EASTERN PARKWAY,0,5,40.6761899,88,BROOKLYN,,0,0,0,0,0,0,0
0,BAYCHESTER AVENUE,173,0,47,10475,-73.8317333,0,0,BAYCHESTER AVENUE,0,16,40.8687708,63,BRONX,200 BARTOW AVE PARKING LOT,0,1,1,0,1,0,0
0,WEST 42 STREET,172,0,6,10018,-73.9939358,2,0,WEST 42 STREET,0,3,40.7589782,11,MANHATTAN,,3,6,1,3,11,0,7
0,WEST FORDHAM ROAD,171,0,46,10453,-73.9127392,0,0,MAJOR DEEGAN EXPRESSWAY,0,1,40.86186420000001,47,BRONX,,0,0,0,0,0,0,0
0,JOE DIMAGGIO HIGHWAY,170,0,20,10036,-74.0011515,1,0,TIANANMEN SQUARE CORNER,0,3,40.762025,24,MANHATTAN,,1,1,1,1,2,0,0
1,EAST GUN HILL ROAD,169,2,40,10467,-73.87159799999998,2,1,EAST GUN HILL ROAD,0,1,40.878645299999995,43,BRONX,,0,0,1,0,1,0,0
0,OCEAN PARKWAY,168,1,40,11230,-73.9704715,7,1,OCEAN PARKWAY,0,4,40.6241708,51,BROOKLYN,,0,0,0,0,0,0,0
0,WEST 41 STREET,166,0,13,10036,-73.9959428,0,0,WEST 41 STREET,0,4,40.758981,17,MANHATTAN,,1,2,4,3,5,0,58
0,DELANCEY STREET,165,0,15,10002,-73.9882,4,0,DELANCEY STREET,0,14,40.7185558,33,MANHATTAN,,2,5,20,1,8,0,3
0,WEST 42 STREET,165,0,13,10017,-73.9808885,5,0,WEST 42 STREET,0,21,40.753481799999996,39,MANHATTAN,,5,10,11,2,1,0,37
0,WEST 40 STREET,165,0,4,10018,-73.9907272,5,0,WEST 40 STREET,0,9,40.7559505,18,MANHATTAN,,9,16,20,6,5,0,4178
0,AVENUE OF THE AMERICAS,163,0,13,10011,-73.99683900000002,4,0,AVENUE OF THE AMERICAS,0,22,40.7373607,39,MANHATTAN,,12,14,20,1,2,0,1227
0,WEST 47 STREET,163,0,3,10036,-73.98461929999998,1,0,WEST 47 STREET,0,17,40.7591997,21,MANHATTAN,,12,11,15,10,7,0,20
0,EAST 62 STREET,162,0,6,10065,-73.95835090000001,0,0,EAST 62 STREET,0,8,40.760535299999994,14,MANHATTAN,,1,1,1,1,1,0,0
1,WEST 125 STREET,160,2,24,10027,-73.94548329999998,4,1,WEST 125 STREET,0,10,40.807772299999996,38,MANHATTAN,,2,1,12,3,1,0,370
0,EAST 57 STREET,159,0,9,10022,-73.9707499,5,0,EAST 57 STREET,0,6,40.7616096,20,MANHATTAN,,3,3,4,1,1,0,0
0,EAST 14 STREET,159,0,6,10003,-73.98717990000002,5,0,EAST 14 STREET,0,22,40.733292299999995,33,MANHATTAN,,4,6,12,2,6,0,557
0,EAST 57 STREET,159,0,9,10019,-73.9739693,8,0,EAST 57 STREET,0,6,40.762966299999995,23,MANHATTAN,,3,4,7,1,1,0,0
0,WEST HOUSTON STREET,158,0,16,10012,-73.996771,9,0,WEST HOUSTON STREET,0,16,40.725432,41,MANHATTAN,,3,4,9,7,3,0,3020
0,WEST 34 STREET,158,0,7,10001,-73.9991446,0,0,WEST 34 STREET,0,11,40.754584,18,MANHATTAN,,2,4,7,2,5,0,2834
0,VARICK STREET,158,0,39,10013,-74.006299,4,0,VARICK STREET,0,12,40.722549900000004,55,MANHATTAN,,0,0,0,0,1,0,844
0,FLATBUSH AVENUE,158,0,50,11234,-73.9078755,0,0,SHORE PARKWAY,0,4,40.596511299999996,54,BROOKLYN,,0,0,0,0,0,0,0
0,AVENUE OF THE AMERICAS,157,0,15,10010,-73.9928041,7,0,AVENUE OF THE AMERICAS,0,18,40.7429104,40,MANHATTAN,,7,7,12,1,11,0,1792
