,MONTH,ON STREET NAME,CROSS STREET NAME,CRASHES,NUMBER OF PERSONS INJURED,LOCATION,rank
61232,4,BROADWAY,WEST 60 STREET,12,3,"(40.768891, -73.9820935)",19.5
61745,4,WEST 81 STREET,CENTRAL PARK WEST,12,0,"(40.7820225, -73.9717231)",19.5
61427,4,COLUMBUS AVENUE,WEST 65 STREET,10,0,"(40.7729916, -73.9820779)",17.5
62075,4,WEST 96 STREET,WEST END AVENUE,10,3,"(40.7952524, -73.9732091)",17.5
62203,4,AMSTERDAM AVENUE,WEST 110 STREET,8,2,"(40.8029708, -73.9638616)",13.0
62067,4,AMSTERDAM AVENUE,WEST 97 STREET,8,1,"(40.7947356, -73.9698722)",13.0
61850,4,CENTRAL PARK WEST,WEST 86 STREET,8,2,"(40.7852936, -73.9693348)",13.0
61839,4,WEST 79 STREET,RIVERSIDE DRIVE,8,1,"(40.7849752, -73.982638)",13.0
61538,4,WEST 72 STREET,CENTRAL PARK WEST,8,1,"(40.7762211, -73.9759535)",13.0
61532,4,WEST END AVENUE,WEST 66 STREET,8,1,"(40.776017, -73.9872402)",13.0
62224,4,WEST 110 STREET,BROADWAY,8,3,"(40.8041684, -73.9667001)",13.0
62064,4,WEST 96 STREET,BROADWAY,7,1,"(40.794651, -73.9717827)",7.0
62040,4,WEST 94 STREET,BROADWAY,7,1,"(40.7933502, -73.9727331)",7.0
61493,4,WEST 64 STREET,WEST END AVENUE,7,1,"(40.7747353, -73.9881756)",7.0
61431,4,WEST 65 STREET,BROADWAY,7,0,"(40.7730328, -73.9821971)",7.0
61377,4,CENTRAL PARK WEST,WEST 65 STREET,7,0,"(40.7717807, -73.9791936)",7.0
61590,4,WEST 72 STREET,COLUMBUS AVENUE,6,1,"(40.7774101, -73.9787983)",2.5
61448,4,WEST 66 STREET,COLUMBUS AVENUE,6,1,"(40.7736009, -73.9815723)",2.5
61656,4,CENTRAL PARK WEST,WEST 77 STREET,6,1,"(40.7794786, -73.9735729)",2.5
61494,4,WEST 66 STREET,AMSTERDAM AVENUE,6,1,"(40.774809, -73.9844135)",2.5
