,MONTH,ON STREET NAME,CROSS STREET NAME,CRASHES,NUMBER OF PERSONS INJURED,LOCATION,rank
133113,8,WEST 81 STREET,CENTRAL PARK WEST,18,4,"(40.7820225, -73.9717231)",20.0
133495,8,WEST END AVENUE,WEST 96 STREET,15,4,"(40.7952524, -73.9732091)",18.0
133214,8,RIVERSIDE DRIVE,WEST 79 STREET,15,1,"(40.7849752, -73.982638)",18.0
133483,8,WEST 96 STREET,BROADWAY,15,2,"(40.794651, -73.9717827)",18.0
133142,8,AMSTERDAM AVENUE,WEST 79 STREET,13,0,"(40.7831465, -73.978327)",16.0
132994,8,AMSTERDAM AVENUE,WEST 72 STREET,12,1,"(40.7786073, -73.9816215)",14.5
133167,8,BROADWAY,WEST 79 STREET,12,6,"(40.783844, -73.9799879)",14.5
133110,8,WEST 79 STREET,COLUMBUS AVENUE,11,3,"(40.781952, -73.9754821)",11.5
133297,8,WEST 86 STREET,AMSTERDAM AVENUE,11,7,"(40.7876856, -73.9750141)",11.5
133225,8,WEST 86 STREET,CENTRAL PARK WEST,11,3,"(40.7852936, -73.9693348)",11.5
133462,8,WEST 97 STREET,COLUMBUS AVENUE,11,6,"(40.7935573, -73.967016)",11.5
133039,8,WEST 72 STREET,WEST END AVENUE,10,2,"(40.7798072, -73.9844773)",9.0
132718,8,BROADWAY,WEST 64 STREET,9,1,"(40.7722094, -73.9821793)",6.5
132955,8,COLUMBUS AVENUE,WEST 72 STREET,9,1,"(40.7774101, -73.9787983)",6.5
132971,8,WEST 71 STREET,BROADWAY,9,1,"(40.7779294, -73.9820802)",6.5
132679,8,BROADWAY,WEST 63 STREET,9,2,"(40.7713942, -73.9821578)",6.5
132839,8,WEST 64 STREET,WEST END AVENUE,8,0,"(40.7747353, -73.9881756)",2.5
133427,8,WEST 92 STREET,BROADWAY,8,2,"(40.7920934, -73.9736473)",2.5
133173,8,WEST 84 STREET,CENTRAL PARK WEST,8,0,"(40.7839764, -73.9702995)",2.5
133623,8,WEST 110 STREET,COLUMBUS AVENUE,8,2,"(40.8018007, -73.9610774)",2.5
