,MONTH,ON STREET NAME,CROSS STREET NAME,CRASHES,NUMBER OF PERSONS INJURED,LOCATION,rank
205788,12,WEST 96 STREET,WEST END AVENUE,10,1,"(40.7952524, -73.9732091)",18.0
205475,12,WEST 81 STREET,CENTRAL PARK WEST,10,1,"(40.7820225, -73.9717231)",18.0
205522,12,WEST 79 STREET,BROADWAY,10,2,"(40.783844, -73.9799879)",18.0
205767,12,WEST 96 STREET,AMSTERDAM AVENUE,10,2,"(40.7940523, -73.9703673)",18.0
205572,12,WEST 86 STREET,CENTRAL PARK WEST,10,3,"(40.7852936, -73.9693348)",18.0
204941,12,BROADWAY,WEST 60 STREET,9,1,"(40.768891, -73.9820935)",14.0
205354,12,AMSTERDAM AVENUE,WEST 72 STREET,9,2,"(40.7786073, -73.9816215)",14.0
205857,12,COLUMBUS AVENUE,WEST 106 STREET,9,2,"(40.7992404, -73.9628704)",14.0
205758,12,WEST 97 STREET,COLUMBUS AVENUE,8,3,"(40.7935573, -73.967016)",11.0
205365,12,WEST 72 STREET,BROADWAY,8,2,"(40.778794, -73.9820547)",11.0
205472,12,COLUMBUS AVENUE,WEST 79 STREET,8,0,"(40.781952, -73.9754821)",11.0
205470,12,AMSTERDAM AVENUE,WEST 77 STREET,7,0,"(40.7818402, -73.9792844)",6.0
205213,12,WEST 68 STREET,COLUMBUS AVENUE,7,1,"(40.7748523, -73.9806585)",6.0
205508,12,WEST 81 STREET,COLUMBUS AVENUE,7,0,"(40.7832418, -73.9745391)",6.0
205562,12,WEST 79 STREET,RIVERSIDE DRIVE,7,0,"(40.7849752, -73.982638)",6.0
205146,12,CENTRAL PARK WEST,WEST 67 STREET,7,0,"(40.7730321, -73.9782834)",6.0
205777,12,BROADWAY,WEST 96 STREET,7,1,"(40.794651, -73.9717827)",6.0
205780,12,WEST 97 STREET,AMSTERDAM AVENUE,7,1,"(40.7947356, -73.9698722)",6.0
205750,12,COLUMBUS AVENUE,WEST 96 STREET,6,2,"(40.7928576, -73.9675292)",1.5
205905,12,WEST 110 STREET,MORNINGSIDE DRIVE,6,3,"(40.8018007, -73.9610774)",1.5
