,MONTH,ON STREET NAME,CROSS STREET NAME,CRASHES,NUMBER OF PERSONS INJURED,LOCATION,rank
29440,2,COLUMBUS AVENUE,WEST 97 STREET,12,2,"(40.7935573, -73.967016)",20.0
29473,2,COLUMBUS AVENUE,WEST 100 STREET,10,2,"(40.7954563, -73.9656282)",18.5
29167,2,AMSTERDAM AVENUE,WEST 79 STREET,10,2,"(40.7831465, -73.978327)",18.5
29567,2,MANHATTAN AVENUE,WEST 110 STREET,9,4,"(40.8011551, -73.9596475)",16.5
29459,2,BROADWAY,WEST 96 STREET,9,4,"(40.794651, -73.9717827)",16.5
28622,2,WEST 60 STREET,BROADWAY,8,1,"(40.768891, -73.9820935)",12.5
28826,2,COLUMBUS AVENUE,WEST 65 STREET,8,0,"(40.7729916, -73.9820779)",12.5
28995,2,BROADWAY,WEST 71 STREET,8,0,"(40.7779294, -73.9820802)",12.5
29401,2,CENTRAL PARK WEST,WEST 96 STREET,8,1,"(40.7916628, -73.9646839)",12.5
29144,2,CENTRAL PARK WEST,WEST 81 STREET,8,1,"(40.7820225, -73.9717231)",12.5
29241,2,WEST 86 STREET,CENTRAL PARK WEST,8,2,"(40.7852936, -73.9693348)",12.5
29191,2,WEST 79 STREET,BROADWAY,7,3,"(40.783844, -73.9799879)",6.5
29050,2,COLUMBUS AVENUE,WEST 75 STREET,7,3,"(40.7793641, -73.9773678)",6.5
29383,2,AMSTERDAM AVENUE,WEST 91 STREET,7,2,"(40.7908717, -73.9726908)",6.5
28937,2,WEST 66 STREET,WEST END AVENUE,7,2,"(40.776017, -73.9872402)",6.5
29448,2,WEST 95 STREET,BROADWAY,7,2,"(40.7939814, -73.9722814)",6.5
29462,2,WEST 97 STREET,AMSTERDAM AVENUE,7,0,"(40.7947356, -73.9698722)",6.5
29277,2,COLUMBUS AVENUE,WEST 86 STREET,6,1,"(40.7864855, -73.9721726)",2.0
29022,2,AMSTERDAM AVENUE,WEST 72 STREET,6,0,"(40.7786073, -73.9816215)",2.0
29450,2,AMSTERDAM AVENUE,WEST 96 STREET,6,1,"(40.7940523, -73.9703673)",2.0
