,MONTH,ON STREET NAME,CROSS STREET NAME,CRASHES,NUMBER OF PERSONS INJURED,LOCATION,rank
13299,1,COLUMBUS AVENUE,WEST 85 STREET,11,0,"(40.785805, -73.9726712)",20.0
13048,1,WEST 72 STREET,AMSTERDAM AVENUE,10,3,"(40.7786073, -73.9816215)",17.5
13512,1,BROADWAY,WEST 96 STREET,10,3,"(40.794651, -73.9717827)",17.5
13450,1,WEST 96 STREET,CENTRAL PARK WEST,10,2,"(40.7916628, -73.9646839)",17.5
13343,1,COLUMBUS AVENUE,WEST 87 STREET,10,2,"(40.7871634, -73.9716812)",17.5
13282,1,86 STREET TRANSVERSE,CENTRAL PARK WEST,9,0,"(40.7852936, -73.9693348)",14.0
13176,1,WEST 81 STREET,CENTRAL PARK WEST,9,1,"(40.7820225, -73.9717231)",14.0
13271,1,WEST 79 STREET,RIVERSIDE DRIVE,9,0,"(40.7849752, -73.982638)",14.0
12801,1,WEST 64 STREET,BROADWAY,8,1,"(40.7722094, -73.9821793)",11.0
13657,1,WEST 110 STREET,AMSTERDAM AVENUE,8,3,"(40.8029708, -73.9638616)",11.0
13255,1,COLUMBUS AVENUE,WEST 83 STREET,8,1,"(40.7845371, -73.9735961)",11.0
12626,1,BROADWAY,WEST 60 STREET,7,0,"(40.768891, -73.9820935)",7.5
13489,1,COLUMBUS AVENUE,WEST 97 STREET,7,1,"(40.7935573, -73.967016)",7.5
12723,1,WEST 62 STREET,BROADWAY,7,3,"(40.7705708, -73.98214)",7.5
13513,1,WEST 97 STREET,AMSTERDAM AVENUE,7,0,"(40.7947356, -73.9698722)",7.5
12880,1,WEST 63 STREET,WEST END AVENUE,6,3,"(40.7741151, -73.988627)",3.0
13230,1,COLUMBUS AVENUE,WEST 82 STREET,6,0,"(40.7839004, -73.9740586)",3.0
13501,1,WEST 96 STREET,AMSTERDAM AVENUE,6,2,"(40.7940523, -73.9703673)",3.0
13080,1,COLUMBUS AVENUE,WEST 75 STREET,6,0,"(40.7793641, -73.9773678)",3.0
13043,1,WEST END AVENUE,WEST 70 STREET,6,0,"(40.7784761, -73.9854489)",3.0
