,MONTH,ON STREET NAME,CROSS STREET NAME,CRASHES,NUMBER OF PERSONS INJURED,LOCATION,rank
114578,7,WEST 96 STREET,AMSTERDAM AVENUE,15,1,"(40.7940523, -73.9703673)",20.0
114570,7,COLUMBUS AVENUE,WEST 97 STREET,13,1,"(40.7935573, -73.967016)",19.0
114241,7,WEST 81 STREET,CENTRAL PARK WEST,12,1,"(40.7820225, -73.9717231)",17.5
114003,7,WEST END AVENUE,WEST 66 STREET,12,6,"(40.776017, -73.9872402)",17.5
114294,7,BROADWAY,WEST 79 STREET,11,5,"(40.783844, -73.9799879)",14.0
114609,7,COLUMBUS AVENUE,WEST 100 STREET,11,2,"(40.7954563, -73.9656282)",14.0
114315,7,WEST 79 STREET,WEST END AVENUE,11,2,"(40.7843547, -73.9811649)",14.0
113649,7,BROADWAY,WEST 60 STREET,11,1,"(40.768891, -73.9820935)",14.0
114061,7,WEST 72 STREET,COLUMBUS AVENUE,11,2,"(40.7774101, -73.9787983)",14.0
114083,7,AMSTERDAM AVENUE,WEST 71 STREET,10,0,"(40.7779733, -73.982156)",8.5
114340,7,WEST 79 STREET,RIVERSIDE DRIVE,10,2,"(40.7849752, -73.982638)",8.5
114323,7,COLUMBUS AVENUE,WEST 83 STREET,10,0,"(40.7845371, -73.9735961)",8.5
114109,7,AMSTERDAM AVENUE,WEST 72 STREET,10,0,"(40.7786073, -73.9816215)",8.5
113840,7,BROADWAY,WEST 64 STREET,10,3,"(40.7722094, -73.9821793)",8.5
113877,7,WEST 65 STREET,BROADWAY,10,2,"(40.7730328, -73.9821971)",8.5
114720,7,WEST 110 STREET,MANHATTAN AVENUE,9,1,"(40.8011551, -73.9596475)",3.0
114101,7,WEST 70 STREET,WEST END AVENUE,9,4,"(40.7784761, -73.9854489)",3.0
113927,7,WEST 63 STREET,WEST END AVENUE,9,0,"(40.7741151, -73.988627)",3.0
114011,7,WEST 72 STREET,CENTRAL PARK WEST,9,2,"(40.7762211, -73.9759535)",3.0
114793,7,BROADWAY,WEST 110 STREET,9,0,"(40.8041684, -73.9667001)",3.0
