,MONTH,ON STREET NAME,CROSS STREET NAME,CRASHES,NUMBER OF PERSONS INJURED,LOCATION,rank
95724,6,CENTRAL PARK WEST,WEST 81 STREET,12,1,"(40.7820225, -73.9717231)",20.0
95824,6,86 STREET TRANSVERSE,CPW,11,4,"(40.7852936, -73.9693348)",18.5
95179,6,WEST 60 STREET,BROADWAY,11,8,"(40.768891, -73.9820935)",18.5
96052,6,WEST 96 STREET,AMSTERDAM AVENUE,10,0,"(40.7940523, -73.9703673)",16.5
95816,6,WEST 79 STREET,RIVERSIDE DRIVE,10,6,"(40.7849752, -73.982638)",16.5
96074,6,WEST END AVENUE,WEST 96 STREET,9,2,"(40.7952524, -73.9732091)",14.5
95389,6,WEST 65 STREET,BROADWAY,9,2,"(40.7730328, -73.9821971)",14.5
95601,6,WEST 72 STREET,AMSTERDAM AVENUE,8,0,"(40.7786073, -73.9816215)",10.5
95504,6,WEST END AVENUE,WEST 66 STREET,8,0,"(40.776017, -73.9872402)",10.5
95716,6,WEST 76 STREET,BROADWAY,8,1,"(40.7817499, -73.9810645)",10.5
95388,6,CENTRAL PARK WEST,WEST 67 STREET,8,1,"(40.7730321, -73.9782834)",10.5
96015,6,CENTRAL PARK WEST,WEST 97 STREET,8,2,"(40.7923625, -73.9641744)",10.5
96202,6,MORNINGSIDE DRIVE,WEST 110 STREET,8,1,"(40.8018007, -73.9610774)",10.5
95720,6,WEST 77 STREET,AMSTERDAM AVENUE,7,1,"(40.7818402, -73.9792844)",4.0
95722,6,WEST 79 STREET,COLUMBUS AVENUE,7,0,"(40.781952, -73.9754821)",4.0
95773,6,WEST 79 STREET,BROADWAY,7,2,"(40.783844, -73.9799879)",4.0
95792,6,WEST 79 STREET,WEST END AVENUE,7,0,"(40.7843547, -73.9811649)",4.0
95430,6,WEST END AVENUE,WEST 63 STREET,7,1,"(40.7741151, -73.988627)",4.0
95866,6,WEST 86 STREET,COLUMBUS AVENUE,7,0,"(40.7864855, -73.9721726)",4.0
95841,6,WEST 82 STREET,BROADWAY,7,0,"(40.785787, -73.9785356)",4.0
