,MONTH,ON STREET NAME,CROSS STREET NAME,CRASHES,NUMBER OF PERSONS INJURED,LOCATION,rank
45587,3,COLUMBUS AVENUE,WEST 79 STREET,11,0,"(40.781952, -73.9754821)",19.5
45913,3,WEST END AVENUE,WEST 96 STREET,11,0,"(40.7952524, -73.9732091)",19.5
45423,3,WEST 72 STREET,COLUMBUS AVENUE,9,3,"(40.7774101, -73.9787983)",18.0
45901,3,WEST 96 STREET,BROADWAY,8,1,"(40.794651, -73.9717827)",14.5
45679,3,WEST 79 STREET,RIVERSIDE DRIVE,8,1,"(40.7849752, -73.982638)",14.5
45682,3,BROADWAY,WEST 81 STREET,8,2,"(40.7851558, -73.9790017)",14.5
45277,3,COLUMBUS AVENUE,WEST 66 STREET,8,3,"(40.7736009, -73.9815723)",14.5
45891,3,AMSTERDAM AVENUE,WEST 96 STREET,8,1,"(40.7940523, -73.9703673)",14.5
45048,3,BROADWAY,WEST 60 STREET,8,1,"(40.768891, -73.9820935)",14.5
45687,3,CENTRAL PARK WEST,WEST 86 STREET,7,3,"(40.7852936, -73.9693348)",7.0
45919,3,COLUMBUS AVENUE,WEST 100 STREET,7,2,"(40.7954563, -73.9656282)",7.0
45474,3,WEST 74 STREET,COLUMBUS AVENUE,7,0,"(40.7787301, -73.9778302)",7.0
45556,3,WEST 76 STREET,AMSTERDAM AVENUE,7,0,"(40.7811953, -73.9797467)",7.0
45212,3,WEST 64 STREET,BROADWAY,7,2,"(40.7722094, -73.9821793)",7.0
45721,3,WEST 86 STREET,COLUMBUS AVENUE,7,0,"(40.7864855, -73.9721726)",7.0
45588,3,WEST 81 STREET,CENTRAL PARK WEST,7,3,"(40.7820225, -73.9717231)",7.0
46055,3,AMSTERDAM AVENUE,WEST 110 STREET,7,1,"(40.8029708, -73.9638616)",7.0
45288,3,WEST 66 STREET,BROADWAY,7,0,"(40.7738755, -73.9822257)",7.0
46017,3,CATHEDRAL PARKWAY,MANHATTAN AVENUE,6,4,"(40.8011551, -73.9596475)",1.5
45499,3,WEST 77 STREET,CENTRAL PARK WEST,6,2,"(40.7794786, -73.9735729)",1.5
