,MONTH,ON STREET NAME,CROSS STREET NAME,CRASHES,NUMBER OF PERSONS INJURED,LOCATION,rank
78972,5,COLUMBUS AVENUE,WEST 100 STREET,13,0,"(40.7954563, -73.9656282)",20.0
78631,5,WEST 79 STREET,COLUMBUS AVENUE,12,0,"(40.781952, -73.9754821)",19.0
78956,5,BROADWAY,WEST 96 STREET,11,2,"(40.794651, -73.9717827)",17.0
78735,5,WEST 86 STREET,CENTRAL PARK WEST,11,1,"(40.7852936, -73.9693348)",17.0
78283,5,WEST 66 STREET,CENTRAL PARK WEST,11,0,"(40.7724202, -73.9787241)",17.0
78100,5,BROADWAY,WEST 60 STREET,10,2,"(40.768891, -73.9820935)",14.5
78632,5,CENTRAL PARK WEST,WEST 81 STREET,10,2,"(40.7820225, -73.9717231)",14.5
78815,5,WEST 86 STREET,BROADWAY,9,1,"(40.7883117, -73.9765017)",12.5
78344,5,BROADWAY,WEST 66 STREET,9,2,"(40.7738755, -73.9822257)",12.5
78491,5,WEST 71 STREET,AMSTERDAM AVENUE,8,0,"(40.7779733, -73.982156)",7.5
78723,5,WEST 79 STREET,RIVERSIDE DRIVE,8,0,"(40.7849752, -73.982638)",7.5
79101,5,WEST 110 STREET,COLUMBUS AVENUE,8,1,"(40.8018007, -73.9610774)",7.5
78957,5,AMSTERDAM AVENUE,WEST 97 STREET,8,1,"(40.7947356, -73.9698722)",7.5
78925,5,WEST 96 STREET,COLUMBUS AVENUE,8,4,"(40.7928576, -73.9675292)",7.5
78937,5,COLUMBUS AVENUE,WEST 97 STREET,8,6,"(40.7935573, -73.967016)",7.5
78664,5,WEST 81 STREET,COLUMBUS AVENUE,8,0,"(40.7832418, -73.9745391)",7.5
78304,5,BROADWAY,WEST 65 STREET,8,1,"(40.7730328, -73.9821971)",7.5
78524,5,WEST 72 STREET,BROADWAY,7,0,"(40.778794, -73.9820547)",2.0
78649,5,WEST 82 STREET,CENTRAL PARK WEST,7,0,"(40.7827058, -73.9712245)",2.0
78371,5,WEST 67 STREET,BROADWAY,7,1,"(40.7746797, -73.9822003)",2.0
