,MONTH,ON STREET NAME,CROSS STREET NAME,CRASHES,NUMBER OF PERSONS INJURED,LOCATION,rank
188354,11,WEST 60 STREET,BROADWAY,22,6,"(40.768891, -73.9820935)",20.0
189223,11,WEST 97 STREET,COLUMBUS AVENUE,14,0,"(40.7935573, -73.967016)",19.0
189244,11,WEST 96 STREET,BROADWAY,12,2,"(40.794651, -73.9717827)",18.0
189014,11,CENTRAL PARK WEST,WEST 86 STREET,11,3,"(40.7852936, -73.9693348)",17.0
188759,11,AMSTERDAM AVENUE,WEST 71 STREET,10,0,"(40.7779733, -73.982156)",15.0
189004,11,WEST 79 STREET,RIVERSIDE DRIVE,10,2,"(40.7849752, -73.982638)",15.0
188741,11,WEST 72 STREET,COLUMBUS AVENUE,10,5,"(40.7774101, -73.9787983)",15.0
189263,11,COLUMBUS AVENUE,WEST 100 STREET,9,4,"(40.7954563, -73.9656282)",12.5
188937,11,WEST 79 STREET,AMSTERDAM AVENUE,9,2,"(40.7831465, -73.978327)",12.5
189284,11,WEST 100 STREET,AMSTERDAM AVENUE,8,0,"(40.7966428, -73.9684772)",9.0
189257,11,WEST 96 STREET,WEST END AVENUE,8,0,"(40.7952524, -73.9732091)",9.0
189165,11,WEST 90 STREET,BROADWAY,8,2,"(40.790842, -73.9745651)",9.0
188966,11,WEST 79 STREET,BROADWAY,8,0,"(40.783844, -73.9799879)",9.0
188637,11,WEST 68 STREET,COLUMBUS AVENUE,8,1,"(40.7748523, -73.9806585)",9.0
188911,11,79 ST TRANSVERSE,CENTRAL PARK WEST,7,0,"(40.7820225, -73.9717231)",3.5
188488,11,BROADWAY,WEST 63 STREET,7,1,"(40.7713942, -73.9821578)",3.5
188870,11,BROADWAY,WEST 75 STREET,7,1,"(40.7810254, -73.9813103)",3.5
188757,11,WEST 71 STREET,BROADWAY,7,1,"(40.7779294, -73.9820802)",3.5
188982,11,AMSTERDAM AVENUE,WEST 81 STREET,7,0,"(40.7844638, -73.9773661)",3.5
188565,11,WEST 65 STREET,BROADWAY,7,0,"(40.7730328, -73.9821971)",3.5
