,MONTH,ON STREET NAME,CROSS STREET NAME,CRASHES,NUMBER OF PERSONS INJURED,LOCATION,rank
171614,10,WEST 97 STREET,COLUMBUS AVENUE,20,5,"(40.7935573, -73.967016)",20.0
170823,10,BROADWAY,WEST 64 STREET,16,0,"(40.7722094, -73.9821793)",19.0
171418,10,COLUMBUS AVENUE,WEST 86 STREET,14,3,"(40.7864855, -73.9721726)",18.0
171649,10,WEST 96 STREET,WEST END AVENUE,13,4,"(40.7952524, -73.9732091)",16.5
171635,10,WEST 96 STREET,BROADWAY,13,2,"(40.794651, -73.9717827)",16.5
171251,10,WEST 79 STREET,COLUMBUS AVENUE,12,1,"(40.781952, -73.9754821)",14.0
171298,10,WEST 81 STREET,COLUMBUS AVENUE,12,0,"(40.7832418, -73.9745391)",14.0
170904,10,BROADWAY,WEST 66 STREET,12,2,"(40.7738755, -73.9822257)",14.0
171254,10,CENTRAL PARK WEST,WEST 81 STREET,11,1,"(40.7820225, -73.9717231)",9.5
171290,10,WEST 79 STREET,AMSTERDAM AVENUE,11,2,"(40.7831465, -73.978327)",9.5
170866,10,WEST 65 STREET,BROADWAY,11,1,"(40.7730328, -73.9821971)",9.5
171197,10,WEST 77 STREET,COLUMBUS AVENUE,11,1,"(40.7806512, -73.9764177)",9.5
171373,10,CENTRAL PARK WEST,WEST 86 STREET,11,4,"(40.7852936, -73.9693348)",9.5
170942,10,BROADWAY,WEST 67 STREET,11,1,"(40.7746797, -73.9822003)",9.5
171248,10,AMSTERDAM AVENUE,WEST 77 STREET,10,4,"(40.7818402, -73.9792844)",3.5
171362,10,RIVERSIDE DRIVE,WEST 79 STREET,10,1,"(40.7849752, -73.982638)",3.5
171164,10,WEST 72 STREET,WEST END AVENUE,10,2,"(40.7798072, -73.9844773)",3.5
170919,10,WEST 67 STREET,COLUMBUS AVENUE,10,0,"(40.7742266, -73.9811136)",3.5
170916,10,WEST 65 STREET,AMSTERDAM AVENUE,10,3,"(40.7741558, -73.9848794)",3.5
170623,10,BROADWAY,WEST 60 STREET,10,0,"(40.768891, -73.9820935)",3.5
