,WEEKDAY,ON STREET NAME,CROSS STREET NAME,CRASHES,NUMBER OF PERSONS INJURED,LOCATION,rank
107955,5,COLUMBUS AVENUE,WEST 97 STREET,24,6,"(40.7935573, -73.967016)",20.0
107739,5,COLUMBUS AVENUE,WEST 86 STREET,21,2,"(40.7864855, -73.9721726)",19.0
107966,5,AMSTERDAM AVENUE,WEST 96 STREET,20,2,"(40.7940523, -73.9703673)",18.0
107543,5,CENTRAL PARK WEST,WEST 81 STREET,18,6,"(40.7820225, -73.9717231)",16.5
107684,5,CENTRAL PARK WEST,WEST 86 STREET,18,4,"(40.7852936, -73.9693348)",16.5
108000,5,WEST 100 STREET,COLUMBUS AVENUE,17,1,"(40.7954563, -73.9656282)",14.0
107978,5,BROADWAY,WEST 96 STREET,17,2,"(40.794651, -73.9717827)",14.0
107917,5,WEST 92 STREET,BROADWAY,17,6,"(40.7920934, -73.9736473)",14.0
107670,5,WEST 79 STREET,RIVERSIDE DRIVE,16,1,"(40.7849752, -73.982638)",12.0
107613,5,WEST 79 STREET,BROADWAY,15,6,"(40.783844, -73.9799879)",11.0
106857,5,BROADWAY,WEST 60 STREET,14,7,"(40.768891, -73.9820935)",7.5
107371,5,WEST 71 STREET,AMSTERDAM AVENUE,14,0,"(40.7779733, -73.982156)",7.5
107452,5,WEST 72 STREET,WEST END AVENUE,14,2,"(40.7798072, -73.9844773)",7.5
107538,5,AMSTERDAM AVENUE,WEST 77 STREET,14,2,"(40.7818402, -73.9792844)",7.5
107646,5,WEST 83 STREET,COLUMBUS AVENUE,14,0,"(40.7845371, -73.9735961)",7.5
107980,5,AMSTERDAM AVENUE,WEST 97 STREET,14,1,"(40.7947356, -73.9698722)",7.5
107081,5,WEST 64 STREET,BROADWAY,13,0,"(40.7722094, -73.9821793)",2.5
107579,5,WEST 79 STREET,AMSTERDAM AVENUE,13,3,"(40.7831465, -73.978327)",2.5
107702,5,WEST 83 STREET,AMSTERDAM AVENUE,13,0,"(40.7857344, -73.9764412)",2.5
107127,5,COLUMBUS AVENUE,WEST 65 STREET,13,0,"(40.7729916, -73.9820779)",2.5
