,WEEKDAY,ON STREET NAME,CROSS STREET NAME,CRASHES,NUMBER OF PERSONS INJURED,LOCATION,rank
18290,1,WEST 97 STREET,COLUMBUS AVENUE,22,3,"(40.7935573, -73.967016)",20.0
17899,1,79 ST TRANSVERSE,CENTRAL PARK WEST,21,2,"(40.7820225, -73.9717231)",19.0
18012,1,WEST 79 STREET,RIVERSIDE DRIVE,19,2,"(40.7849752, -73.982638)",18.0
18300,1,AMSTERDAM AVENUE,WEST 96 STREET,16,4,"(40.7940523, -73.9703673)",16.5
18332,1,COLUMBUS AVENUE,WEST 100 STREET,16,5,"(40.7954563, -73.9656282)",16.5
18027,1,WEST 86 STREET,CENTRAL PARK WEST,15,1,"(40.7852936, -73.9693348)",14.0
17931,1,AMSTERDAM AVENUE,WEST 79 STREET,15,1,"(40.7831465, -73.978327)",14.0
17746,1,AMSTERDAM AVENUE,WEST 72 STREET,15,1,"(40.7786073, -73.9816215)",14.0
18415,1,BROADWAY,WEST 104 STREET,14,3,"(40.7997827, -73.9681976)",10.0
17694,1,COLUMBUS AVENUE,WEST 72 STREET,14,2,"(40.7774101, -73.9787983)",10.0
17473,1,CENTRAL PARK WEST,WEST 67 STREET,14,1,"(40.7730321, -73.9782834)",10.0
17470,1,COLUMBUS AVENUE,WEST 65 STREET,14,3,"(40.7729916, -73.9820779)",10.0
17213,1,BROADWAY,WEST 60 STREET,14,0,"(40.768891, -73.9820935)",10.0
18312,1,WEST 96 STREET,BROADWAY,13,6,"(40.794651, -73.9717827)",5.5
18243,1,CENTRAL PARK WEST,WEST 96 STREET,13,3,"(40.7916628, -73.9646839)",5.5
17757,1,BROADWAY,WEST 72 STREET,13,1,"(40.778794, -73.9820547)",5.5
18325,1,WEST 96 STREET,WEST END AVENUE,13,1,"(40.7952524, -73.9732091)",5.5
17984,1,WEST 81 STREET,AMSTERDAM AVENUE,12,0,"(40.7844638, -73.9773661)",2.0
17628,1,WEST 66 STREET,WEST END AVENUE,12,2,"(40.776017, -73.9872402)",2.0
17504,1,WEST 66 STREET,COLUMBUS AVENUE,12,6,"(40.7736009, -73.9815723)",2.0
