,WEEKDAY,ON STREET NAME,CROSS STREET NAME,CRASHES,NUMBER OF PERSONS INJURED,LOCATION,rank
129450,6,WEST 96 STREET,BROADWAY,18,4,"(40.794651, -73.9717827)",20.0
129468,6,COLUMBUS AVENUE,WEST 100 STREET,17,5,"(40.7954563, -73.9656282)",19.0
129180,6,WEST 79 STREET,RIVERSIDE DRIVE,16,0,"(40.7849752, -73.982638)",18.0
128929,6,WEST 72 STREET,AMSTERDAM AVENUE,14,3,"(40.7786073, -73.9816215)",15.5
129074,6,CENTRAL PARK WEST,WEST 81 STREET,14,3,"(40.7820225, -73.9717231)",15.5
129106,6,WEST 79 STREET,AMSTERDAM AVENUE,14,3,"(40.7831465, -73.978327)",15.5
129140,6,WEST 79 STREET,BROADWAY,14,0,"(40.783844, -73.9799879)",15.5
129406,6,CENTRAL PARK WEST,WEST 97 STREET,13,1,"(40.7923625, -73.9641744)",12.0
129462,6,WEST 96 STREET,WEST END AVENUE,13,3,"(40.7952524, -73.9732091)",12.0
128660,6,BROADWAY,WEST 65 STREET,13,4,"(40.7730328, -73.9821971)",12.0
129192,6,WEST 86 STREET,CENTRAL PARK WEST,12,5,"(40.7852936, -73.9693348)",8.5
128802,6,WEST END AVENUE,WEST 66 STREET,12,5,"(40.776017, -73.9872402)",8.5
129453,6,WEST 97 STREET,AMSTERDAM AVENUE,12,0,"(40.7947356, -73.9698722)",8.5
129438,6,WEST 96 STREET,AMSTERDAM AVENUE,12,2,"(40.7940523, -73.9703673)",8.5
129388,6,WEST 96 STREET,CENTRAL PARK WEST,11,2,"(40.7916628, -73.9646839)",4.5
129143,6,COLUMBUS AVENUE,WEST 82 STREET,11,0,"(40.7839004, -73.9740586)",4.5
128398,6,WEST 60 STREET,BROADWAY,11,1,"(40.768891, -73.9820935)",4.5
129428,6,WEST 97 STREET,COLUMBUS AVENUE,11,2,"(40.7935573, -73.967016)",4.5
128656,6,COLUMBUS AVENUE,WEST 65 STREET,10,2,"(40.7729916, -73.9820779)",1.5
129282,6,WEST 86 STREET,BROADWAY,10,1,"(40.7883117, -73.9765017)",1.5
