,WEEKDAY,ON STREET NAME,CROSS STREET NAME,CRASHES,NUMBER OF PERSONS INJURED,LOCATION,rank
149263,7,WEST 60 STREET,BROADWAY,24,7,"(40.768891, -73.9820935)",20.0
150022,7,WEST 86 STREET,CENTRAL PARK WEST,19,3,"(40.7852936, -73.9693348)",19.0
150288,7,WEST 96 STREET,WEST END AVENUE,18,10,"(40.7952524, -73.9732091)",18.0
150062,7,COLUMBUS AVENUE,WEST 86 STREET,17,3,"(40.7864855, -73.9721726)",17.0
150253,7,WEST 97 STREET,COLUMBUS AVENUE,15,4,"(40.7935573, -73.967016)",15.5
150275,7,WEST 96 STREET,BROADWAY,15,2,"(40.794651, -73.9717827)",15.5
150278,7,WEST 97 STREET,AMSTERDAM AVENUE,13,3,"(40.7947356, -73.9698722)",12.5
149421,7,BROADWAY,WEST 63 STREET,13,3,"(40.7713942, -73.9821578)",12.5
149751,7,WEST 72 STREET,AMSTERDAM AVENUE,13,0,"(40.7786073, -73.9816215)",12.5
149900,7,WEST 79 STREET,COLUMBUS AVENUE,13,0,"(40.781952, -73.9754821)",12.5
149902,7,79 STREET TRANSVERSE,CPW,12,2,"(40.7820225, -73.9717231)",9.0
150037,7,WEST 83 STREET,AMSTERDAM AVENUE,12,2,"(40.7857344, -73.9764412)",9.0
150097,7,WEST 86 STREET,AMSTERDAM AVENUE,12,6,"(40.7876856, -73.9750141)",9.0
149501,7,WEST 65 STREET,BROADWAY,11,2,"(40.7730328, -73.9821971)",6.5
149578,7,WEST 67 STREET,BROADWAY,11,1,"(40.7746797, -73.9822003)",6.5
149687,7,BROADWAY,WEST 70 STREET,10,1,"(40.777095, -73.9821021)",3.5
150224,7,WEST 97 STREET,CENTRAL PARK WEST,10,3,"(40.7923625, -73.9641744)",3.5
149634,7,WEST 66 STREET,WEST END AVENUE,10,3,"(40.776017, -73.9872402)",3.5
149526,7,WEST 66 STREET,COLUMBUS AVENUE,10,0,"(40.7736009, -73.9815723)",3.5
149983,7,WEST 79 STREET,WEST END AVENUE,9,1,"(40.7843547, -73.9811649)",1.0
