,WEEKDAY,ON STREET NAME,CROSS STREET NAME,CRASHES,NUMBER OF PERSONS INJURED,LOCATION,rank
84786,4,WEST 81 STREET,CENTRAL PARK WEST,26,2,"(40.7820225, -73.9717231)",20.0
84907,4,WEST 79 STREET,RIVERSIDE DRIVE,24,7,"(40.7849752, -73.982638)",19.0
85218,4,WEST 96 STREET,WEST END AVENUE,19,2,"(40.7952524, -73.9732091)",17.5
85203,4,BROADWAY,WEST 96 STREET,19,3,"(40.794651, -73.9717827)",17.5
84360,4,WEST 65 STREET,COLUMBUS AVENUE,17,2,"(40.7729916, -73.9820779)",16.0
84585,4,WEST 72 STREET,COLUMBUS AVENUE,16,2,"(40.7774101, -73.9787983)",14.5
84920,4,WEST 86 STREET,CENTRAL PARK WEST,16,5,"(40.7852936, -73.9693348)",14.5
84365,4,WEST 65 STREET,BROADWAY,15,1,"(40.7730328, -73.9821971)",12.5
85178,4,COLUMBUS AVENUE,WEST 97 STREET,15,1,"(40.7935573, -73.967016)",12.5
84094,4,WEST 60 STREET,BROADWAY,14,0,"(40.768891, -73.9820935)",10.0
85205,4,WEST 97 STREET,AMSTERDAM AVENUE,14,1,"(40.7947356, -73.9698722)",10.0
84847,4,WEST 79 STREET,BROADWAY,14,4,"(40.783844, -73.9799879)",10.0
84331,4,CENTRAL PARK WEST,WEST 66 STREET,13,4,"(40.7724202, -73.9787241)",6.5
84397,4,COLUMBUS AVENUE,WEST 66 STREET,13,4,"(40.7736009, -73.9815723)",6.5
85008,4,WEST 86 STREET,AMSTERDAM AVENUE,13,2,"(40.7876856, -73.9750141)",6.5
84605,4,AMSTERDAM AVENUE,WEST 71 STREET,13,1,"(40.7779733, -73.982156)",6.5
84410,4,WEST 66 STREET,BROADWAY,12,5,"(40.7738755, -73.9822257)",2.5
85416,4,BROADWAY,WEST 110 STREET,12,0,"(40.8041684, -73.9667001)",2.5
85386,4,WEST 110 STREET,AMSTERDAM AVENUE,12,4,"(40.8029708, -73.9638616)",2.5
84814,4,AMSTERDAM AVENUE,WEST 79 STREET,12,0,"(40.7831465, -73.978327)",2.5
