,WEEKDAY,ON STREET NAME,CROSS STREET NAME,CRASHES,NUMBER OF PERSONS INJURED,LOCATION,rank
39698,2,WEST 60 STREET,BROADWAY,24,1,"(40.768891, -73.9820935)",19.5
40372,2,CENTRAL PARK WEST,WEST 81 STREET,24,2,"(40.7820225, -73.9717231)",19.5
40519,2,WEST 86 STREET,CENTRAL PARK WEST,21,7,"(40.7852936, -73.9693348)",17.5
40369,2,WEST 79 STREET,COLUMBUS AVENUE,21,3,"(40.781952, -73.9754821)",17.5
40503,2,RIVERSIDE DRIVE,WEST 79 STREET,20,4,"(40.7849752, -73.982638)",16.0
40789,2,WEST 97 STREET,COLUMBUS AVENUE,18,3,"(40.7935573, -73.967016)",15.0
40828,2,WEST 96 STREET,WEST END AVENUE,17,0,"(40.7952524, -73.9732091)",14.0
39907,2,WEST 64 STREET,BROADWAY,16,5,"(40.7722094, -73.9821793)",13.0
40440,2,BROADWAY,WEST 79 STREET,15,7,"(40.783844, -73.9799879)",12.0
40996,2,AMSTERDAM AVENUE,WEST 110 STREET,14,4,"(40.8029708, -73.9638616)",10.0
40190,2,AMSTERDAM AVENUE,WEST 71 STREET,14,1,"(40.7779733, -73.982156)",10.0
39955,2,WEST 65 STREET,BROADWAY,14,3,"(40.7730328, -73.9821971)",10.0
40625,2,BROADWAY,WEST 86 STREET,13,4,"(40.7883117, -73.9765017)",6.0
40802,2,WEST 96 STREET,AMSTERDAM AVENUE,13,2,"(40.7940523, -73.9703673)",6.0
40217,2,AMSTERDAM AVENUE,WEST 72 STREET,13,1,"(40.7786073, -73.9816215)",6.0
40409,2,WEST 79 STREET,AMSTERDAM AVENUE,13,3,"(40.7831465, -73.978327)",6.0
40303,2,COLUMBUS AVENUE,WEST 77 STREET,13,2,"(40.7806512, -73.9764177)",6.0
40439,2,WEST 80 STREET,AMSTERDAM AVENUE,12,0,"(40.7838299, -73.9778249)",2.0
40967,2,WEST 110 STREET,MORNINGSIDE DRIVE,12,2,"(40.8018007, -73.9610774)",2.0
40271,2,WEST 72 STREET,WEST END AVENUE,12,2,"(40.7798072, -73.9844773)",2.0
