,WEEKDAY,ON STREET NAME,CROSS STREET NAME,CRASHES,NUMBER OF PERSONS INJURED,LOCATION,rank
61928,3,WEST 60 STREET,BROADWAY,23,9,"(40.768891, -73.9820935)",20.0
63043,3,BROADWAY,WEST 96 STREET,20,3,"(40.794651, -73.9717827)",19.0
63057,3,WEST 96 STREET,WEST END AVENUE,19,4,"(40.7952524, -73.9732091)",18.0
62755,3,WEST 86 STREET,CENTRAL PARK WEST,17,3,"(40.7852936, -73.9693348)",17.0
62419,3,WEST 72 STREET,COLUMBUS AVENUE,16,4,"(40.7774101, -73.9787983)",15.0
63020,3,COLUMBUS AVENUE,WEST 97 STREET,16,5,"(40.7935573, -73.967016)",15.0
62624,3,CENTRAL PARK WEST,WEST 81 STREET,16,1,"(40.7820225, -73.9717231)",15.0
62668,3,WEST 81 STREET,COLUMBUS AVENUE,15,1,"(40.7832418, -73.9745391)",12.0
63252,3,BROADWAY,WEST 110 STREET,15,8,"(40.8041684, -73.9667001)",12.0
61998,3,WEST 60 STREET,COLUMBUS AVENUE,15,2,"(40.7698492, -73.9843135)",12.0
62285,3,COLUMBUS AVENUE,WEST 68 STREET,14,2,"(40.7748523, -73.9806585)",8.0
62744,3,WEST 79 STREET,RIVERSIDE DRIVE,14,1,"(40.7849752, -73.982638)",8.0
62622,3,WEST 79 STREET,COLUMBUS AVENUE,14,0,"(40.781952, -73.9754821)",8.0
62692,3,COLUMBUS AVENUE,WEST 82 STREET,14,1,"(40.7839004, -73.9740586)",8.0
62160,3,WEST 66 STREET,CENTRAL PARK WEST,14,2,"(40.7724202, -73.9787241)",8.0
63032,3,WEST 96 STREET,AMSTERDAM AVENUE,13,2,"(40.7940523, -73.9703673)",4.0
63222,3,AMSTERDAM AVENUE,WEST 110 STREET,13,2,"(40.8029708, -73.9638616)",4.0
62218,3,WEST 66 STREET,COLUMBUS AVENUE,13,2,"(40.7736009, -73.9815723)",4.0
62284,3,WEST 66 STREET,AMSTERDAM AVENUE,12,1,"(40.774809, -73.9844135)",1.5
62712,3,WEST END AVENUE,WEST 79 STREET,12,2,"(40.7843547, -73.9811649)",1.5
